Word,Classification,Number,NumericInterpretedWord
about,0,11110000,about
casually,0,11110000,casually
women,0,22220405,women
humans,0,22220401,humans
dirty,2,33333405,dirty
seaside,0,22220004,seaside
town,0,22220000,town
globster,0,22220405,globster
song,0,22220003,song
from,0,11110000,from
low,0,11110000,low
budget,0,22220000,budget
hunting,3,22220410,hunting
hybridizing,0,33331102,hybridizing
invasion,3,22221435,invasion
science,0,22220001,science
fiction,0,22220002,fiction
roger,0,22220200,roger
corman,0,22220401,corman
assimilating,0,33331104,assimilating
military,0,22220400,military
vehicles,0,22220100,vehicles
weapons,3,44440345,weapons
daniel,0,22220400,daniel
burnham,0,22220401,burnham
morning,0,22220102,morning
sun,0,22220000,sun
nightvision,0,22220100,nightvision
thermal,0,22220001,thermal
imaging,0,33330102,imaging
darkacademia,0,22222400,darkacademia
infrared,0,22221100,infrared
forest,0,22220002,forest
you,0,11110000,you
are,0,11110000,are
open,0,33331100,open
field,0,22221100,field
white,0,22220000,white
house,0,22220000,house
boarded,0,33330305,boarded
door,0,22220400,door
there,0,11110000,there
is,0,11110000,is
small,0,22220004,small
mailbox,0,22220300,mailbox
here,0,11110000,here
first,0,11110000,first
day,0,11110000,day
midsummer,0,22220300,midsummer
scandinavia,0,22220100,scandinavia
lens,0,22220500,lens
landscape,0,22220410,landscape
photograph,0,22220400,photograph
bioluminescent,0,22220420,bioluminescent
mushroom,0,22220400,mushroom
jungle,0,22220030,jungle
natural,0,22220400,natural
pentax,0,22220900,pentax
ii,0,11110000,ii
futuristic,0,22220904,futuristic
prism,0,22220000,prism
shaped,0,33330200,shaped
warship,3,33331103,warship
spaceship,0,22220415,spaceship
designed,0,33330710,designed
apple,0,22220000,apple
railguns,3,22220605,railguns
flying,0,33330002,flying
above,0,11110000,above
ozzimo,0,22221101,ozzimo
deviantart,0,22220305,deviantart
closet,0,22220300,closet
eero,0,11110000,eero
saarinen,0,22220103,saarinen
island,0,22220300,island
winter,0,22220100,winter
tron,0,22220400,tron
vibrant,0,22220100,vibrant
glowing,0,22220400,glowing
pitch,0,33330102,pitch
sky,0,22220001,sky
angular,0,22220100,angular
cannonsiin,0,33331405,cannonsiin
battle,3,33330700,battle
game,0,22220002,game
frederic,0,22220000,frederic
edwin,0,22220001,edwin
church,0,22220500,church
atlantis,0,22220400,atlantis
viking,0,22220400,viking
monument,0,22220400,monument
stone,0,22220401,stone
wood,0,22220400,wood
magical,0,22220012,magical
traditional,0,22220500,traditional
bauhaus,0,22220300,bauhaus
geometric,0,22220400,geometric
snow,0,22220000,snow
moon,0,22220000,moon
diner,0,22220400,diner
steampunk,0,22220715,steampunk
nicoletta,0,22220205,nicoletta
ceccoli,0,22220100,ceccoli
ryden,0,22222800,ryden
lostfish,0,22220400,lostfish
max,0,11110400,max
fleischer,0,22220802,fleischer
matte,0,22220400,matte
vivid,0,22220802,vivid
colors,0,22220400,colors
bright,0,22220401,bright
cheerful,0,22220000,cheerful
landscaping,0,22220100,landscaping
company,0,22220010,company
called,0,33330000,called
norwegian,0,22220901,norwegian
fjord,0,22220012,fjord
wolf,0,22220400,wolf
prix,0,11110000,prix
nightsky,0,22220100,nightsky
nurse,0,22220300,nurse
hat,0,22220002,hat
asylum,0,22220700,asylum
background,0,22220000,background
glossy,0,22220400,glossy
birthday,0,22220300,birthday
establishing,0,22220500,establishing
jordan,0,22220400,jordan
grimmer,0,33330505,grimmer
jean,0,22221100,jean
delville,0,22220001,delville
fisheye,0,22221500,fisheye
retro,0,22220000,retro
junglepunk,0,22220100,junglepunk
green,0,22220002,green
shirt,0,22220000,shirt
sunglasses,0,22220500,sunglasses
driving,0,33330000,driving
down,0,33330000,down
street,0,22220400,street
seductive,2,33332105,seductive
medium,0,22220400,medium
point,0,33330102,point
alexandre,0,22220400,alexandre
ferra,0,22220401,ferra
mecha,0,22220301,mecha
mechanical,0,22220000,mechanical
huge,0,22220012,huge
mycelum,0,22221600,mycelum
fungi,0,22220400,fungi
filigree,0,22220000,filigree
lace,0,22220400,lace
rasberry,0,22220100,rasberry
chili,0,22220400,chili
red,0,22220401,red
sponge,0,22220300,sponge
magnolia,0,22220100,magnolia
goliath,0,22220400,goliath
head,0,22220200,head
ornaments,0,22220300,ornaments
big,0,22220025,big
embroidered,0,22220400,embroidered
leaves,0,22220901,leaves
sinuous,0,33330300,sinuous
roots,0,22220400,roots
renaissance,0,22220410,renaissance
greek,0,22220300,greek
temple,0,22220300,temple
hyperdetailed,0,22220400,hyperdetailed
factory,0,22220002,factory
frederick,0,22220801,frederick
mccubbin,0,22220050,mccubbin
poppy,0,22220405,poppy
galactic,0,22220400,galactic
assassin,3,66660350,assassin
creed,0,22220401,creed
venus,0,22220301,venus
tarot,0,22220315,tarot
card,0,22220400,card
wise,0,33330000,wise
arrogant,0,33330101,arrogant
horror,3,33330045,horror
court,0,22220400,court
owls,0,22220004,owls
desaturated,0,22220300,desaturated
muted,0,22220300,muted
valley,0,22220400,valley
qiraji,0,22220900,qiraji
tank,0,22220030,tank
roman,0,22220400,roman
god,0,22220400,god
drone,0,22220525,drone
arne,0,22220100,arne
jacobsen,0,22221101,jacobsen
complex,0,22220402,complex
scandinavian,0,22220400,scandinavian
covered,0,33330302,covered
moss,0,22220400,moss
runes,0,33330100,runes
guy,0,22220000,guy
orange,0,22220500,orange
houses,0,22220400,houses
hedonic,0,33330012,hedonic
palace,0,22220000,palace
manchess,0,22220401,manchess
joyful,0,22220400,joyful
massive,0,22221300,massive
infested,0,33330555,infested
rodents,0,22220400,rodents
aesthetic,0,22221800,aesthetic
fire,0,33330305,fire
toyo,0,11110200,toyo
ito,0,11110004,ito
details,0,22220003,details
mm,0,11110000,mm
five,0,11110002,five
layers,0,22220004,layers
keyboard,0,22220032,keyboard
extreme,0,33330070,extreme
family,0,22220400,family
enjoying,0,33330060,enjoying
wine,0,22220400,wine
mooncake,0,22220302,mooncake
together,0,22220000,together
moonfestival,0,22220301,moonfestival
decoration,0,22220400,decoration
mid,0,11110000,mid
autumn,0,22220500,autumn
fesitval,0,22220000,fesitval
artgem,0,22220405,artgem
victo,0,22220002,victo
ngai,0,11110000,ngai
makoto,0,22220402,makoto
shinkai,0,22220400,shinkai
klimt,0,22220100,klimt
nixeu,0,11110000,nixeu
ian,0,11110003,ian
sprigger,0,33332035,sprigger
krenz,0,22220600,krenz
cushart,0,22220605,cushart
humanoid,0,22220400,humanoid
rhizomorph,0,22221020,rhizomorph
finials,0,22220100,finials
spires,0,22220405,spires
broad,0,22220000,broad
all,0,11110000,all
another,0,11110000,another
brick,0,22220405,brick
wall,0,22220100,wall
camera,0,22220300,camera
doctor,0,22220400,doctor
strange,0,22220400,strange
long,0,22220100,long
shadow,0,22220408,shadow
esperanto,0,22220300,esperanto
flag,0,22220002,flag
multiple,0,22220002,multiple
dimensions,0,22220024,dimensions
shattered,3,33330405,shattered
refractions,0,33330102,refractions
environmental,0,22222024,environmental
francis,0,22220400,francis
tnehunreal,0,22220500,tnehunreal
nvidia,0,22220100,nvidia
lord,0,22220500,lord
car,0,22220000,car
couple,0,22220400,couple
romantic,0,22220301,romantic
moment,0,22220001,moment
while,0,11110000,while
gazing,0,33330200,gazing
sipping,0,33330040,sipping
style,0,22220004,style
crystalline,0,22220100,crystalline
lattice,0,22220402,lattice
ultrahd,0,22221103,ultrahd
village,0,22220004,village
carlo,0,22220301,carlo
stanga,0,22220305,stanga
noir,0,22220500,noir
rainforest,0,22220301,rainforest
tumblr,0,22220011,tumblr
rendering,0,33330800,rendering
athenaeum,0,22220405,athenaeum
john,0,22220400,john
howe,0,11110000,howe
jupiter,0,22220012,jupiter
heron,0,22220400,heron
ukiyo,0,22220500,ukiyo
award,0,22220600,award
winning,0,33330200,winning
screen,0,22220400,screen
printing,0,22220500,printing
5,0,11110000,5
bathroom,0,22220012,bathroom
norman,0,22220300,norman
foster,0,22220300,foster
sea,0,22220010,sea
vision,0,22220401,vision
home,0,22220000,home
storm,3,22220400,storm
mysterious,0,33330720,mysterious
representation,0,22220400,representation
dancing,0,33330020,dancing
smoke,0,33330415,smoke
figure,0,33330100,figure
curling,0,33330100,curling
wispy,0,33330025,wispy
straight,0,22220300,straight
edged,0,33330550,edged
buildings,0,22221100,buildings
shopfronts,0,22220400,shopfronts
video,0,22220400,video
screens,0,22220000,screens
impasto,0,22220605,impasto
brush,0,33330020,brush
strokes,0,33330295,strokes
soft,0,11110300,soft
composition,0,22220201,composition
adrian,0,22220500,adrian
ghenie,0,22220301,ghenie
jenny,0,22220002,jenny
saville,0,22220902,saville
zhang,0,22220003,zhang
jingna,0,22220100,jingna
cinestill,0,22220400,cinestill
panorama,0,22220400,panorama
roversi,0,33330500,roversi
gritty,0,22220805,gritty
gloomy,0,22220400,gloomy
pain,0,33330420,pain
sad,0,22221130,sad
dystopian,0,22220400,dystopian
pale,0,22220400,pale
roberto,0,22220100,roberto
ferri,0,22220400,ferri
buscemi,0,22220500,buscemi
postapocalyptic,0,22221500,postapocalyptic
megapixel,0,22220400,megapixel
zeng,0,22220300,zeng
fanzhi,0,11110500,fanzhi
solarpunk,0,22220400,solarpunk
ordered,0,33330100,ordered
pixel,0,22220400,pixel
stormy,0,22220400,stormy
seascape,0,22220400,seascape
sketchbook,0,22220409,sketchbook
ink,0,22220402,ink
drips,0,33330220,drips
asian,0,22220500,asian
magnificent,0,22220100,magnificent
cartoon,0,22220405,cartoon
bd,0,11110200,bd
castle,0,22220400,castle
environement,0,22220400,environement
fat,0,22220310,fat
enki,0,22220100,enki
bilal,0,22220000,bilal
brutalist,0,22220300,brutalist
clown,0,22220012,clown
lakes,0,22220400,lakes
levitating,0,33330100,levitating
luxury,0,22220600,luxury
personal,0,22220100,personal
hovering,0,33330102,hovering
rover,0,22220402,rover
over,0,11110001,over
raytracing,0,22220400,raytracing
electric,0,22221100,electric
pokemon,0,22220400,pokemon
nightly,0,22220401,nightly
spiral,0,22220400,spiral
naive,0,22220100,naive
nerikomi,0,22220005,nerikomi
weird,0,22220402,weird
perspective,0,22221102,perspective
extra,0,22220005,extra
narrow,0,22220400,narrow
lit,0,11110400,lit
flashlight,0,22220400,flashlight
scenic,0,22220300,scenic
rhads,0,11110000,rhads
lorax,0,22221300,lorax
true,0,11110000,true
grass,0,22220400,grass
mountainous,0,22220300,mountainous
terrain,0,22220400,terrain
clouds,0,22220300,clouds
smiling,0,33330000,smiling
chiseled,0,33331302,chiseled
jaw,0,22220000,jaw
slightly,0,22220401,slightly
triton,0,22220300,triton
race,0,22220400,race
elf,0,22220002,elf
ears,0,22220300,ears
ponytail,0,22220400,ponytail
short,0,22220100,short
sides,0,22220003,sides
donato,0,22220400,donato
giancola,0,22220400,giancola
reynolds,0,22220004,reynolds
jeff,0,22220401,jeff
easley,0,22220022,easley
killer,3,66660040,killer
glitter,0,22220014,glitter
million,0,22220100,million
resolution,0,22220200,resolution
uhd,0,11110000,uhd
sensational,0,22221020,sensational
whisping,0,33330310,whisping
torpid,0,22220400,torpid
serene,0,22220301,serene
magestic,0,22220400,magestic
ray,0,22220003,ray
tracing,0,33330200,tracing
borg,0,22220400,borg
dieselpunk,0,22220400,dieselpunk
toad,0,22220100,toad
warrior,3,33330100,warrior
holding,0,33330100,holding
battleaxe,3,33330600,battleaxe
chris,0,22220001,chris
riddell,0,22220400,riddell
ilya,0,11110000,ilya
kuvshinov,0,22220300,kuvshinov
kushart,0,33331103,kushart
boris,0,22220405,boris
vallejo,0,22220400,vallejo
gundam,0,22220600,gundam
v,0,11110000,v
fin,0,11110000,fin
dslr,0,11110000,dslr
mekka,0,22220301,mekka
behance,0,22220001,behance
purple,0,22220010,purple
gold,0,22220010,gold
metal,0,22220400,metal
dribbble,0,22220905,dribbble
com,0,11110000,com
secondsyndicate,1,33330520,secondsyndicate
b,0,11110000,b
nier,0,22220100,nier
automata,0,33332100,automata
lost,0,33330200,lost
damaged,0,33330210,damaged
xenomorph,3,22220415,xenomorph
william,0,22221100,william
kent,0,22220400,kent
stylized,0,22220300,stylized
carved,0,33330023,carved
relief,0,22220400,relief
little,0,22220002,little
girl,0,22220400,girl
embroidery,0,22220400,embroidery
fine,0,11110400,fine
calm,0,22220002,calm
colore,0,22220402,colore
paiting,0,22220401,paiting
jan,0,11110102,jan
vermeer,0,22220400,vermeer
masterpiese,0,33330400,masterpiese
french,0,22221100,french
bulldog,0,22220100,bulldog
chef,0,22220200,chef
costume,0,22220003,costume
schoolgirl,0,22220405,schoolgirl
round,0,22220005,round
rays,0,22220300,rays
facehugger,0,22221420,facehugger
ginger,0,22220300,ginger
bearded,0,22220500,bearded
dwarf,0,22220401,dwarf
bronze,0,22220405,bronze
plate,0,22220300,plate
armor,0,22221100,armor
trimmed,0,33331200,trimmed
beard,0,22220400,beard
half,0,11110300,half
shaved,0,33332205,shaved
torso,0,22220400,torso
horsey,0,22220401,horsey
computer,0,22221100,computer
cats,0,22220000,cats
keycaps,0,22220400,keycaps
hardened,3,33330320,hardened
overpowering,3,33330405,overpowering
pragmatic,0,22220400,pragmatic
charismatic,0,22220802,charismatic
handsome,0,22220012,handsome
muscular,0,22220400,muscular
jeans,0,22220600,jeans
t,0,11110001,t
confident,0,22220100,confident
modern,0,22220002,modern
cityscape,0,22220407,cityscape
outdoors,0,22220000,outdoors
fog,0,22220030,fog
sunny,0,22220000,sunny
greenish,0,22220500,greenish
tinge,0,33330025,tinge
cold,0,22221005,cold
lights,0,22220900,lights
wenjun,0,22220003,wenjun
lin,0,11110000,lin
last,0,33330000,last
supper,0,22220000,supper
olive,0,22220005,olive
dante,0,22221100,dante
devil,2,22220300,devil
may,0,11110000,may
cry,0,33330012,cry
rhythm,0,22220411,rhythm
hq,0,11110000,hq
irakli,0,22220500,irakli
nadar,0,22220100,nadar
victorian,0,22220400,victorian
alexander,0,22220101,alexander
mcqueen,0,22220800,mcqueen
rocky,0,22220602,rocky
gathercole,0,22221410,gathercole
haunting,0,22220402,haunting
elite,0,22220401,elite
ruan,0,22220004,ruan
jia,0,11110000,jia
gustav,0,22220001,gustav
built,0,33330000,built
inside,0,22220022,inside
intel,0,22220400,intel
rebranded,0,33330102,rebranded
heavy,0,22220600,heavy
chinese,0,22220300,chinese
ming,0,11110400,ming
strong,0,33330035,strong
nose,0,22220004,nose
brow,0,22220400,brow
beautifull,0,22220012,beautifull
cast,0,33330200,cast
side,0,22220002,side
pretty,0,22220400,pretty
smashing,3,33330205,smashing
fluid,0,22220401,fluid
oilpaint,0,22220600,oilpaint
melting,0,33330002,melting
wax,0,33330205,wax
thin,0,22220002,thin
mohrbacher,0,22220450,mohrbacher
perfect,0,33330004,perfect
pose,0,33330020,pose
trims,0,33330001,trims
mereoleona,0,22220500,mereoleona
clover,0,22220020,clover
au,0,11110000,au
naturel,0,22220100,naturel
wetplate,0,22220400,wetplate
tintype,0,33332201,tintype
pete,0,22220002,pete
buttigieg,0,22220201,buttigieg
one,0,11110000,one
dragons,0,22220403,dragons
steamscale,0,22220300,steamscale
incinerator,0,22220415,incinerator
gta,1,22220005,gta
cover,0,33330100,cover
official,0,22220400,official
fanart,0,22220400,fanart
jesper,0,22220500,jesper
ejsing,0,11110000,ejsing
lois,0,11110400,lois
baarle,0,22220400,baarle
ossdraws,1,22220600,ossdraws
that,0,11110000,that
looks,0,33330000,looks
like,0,11110000,like
it,0,11110000,it
borderlands,0,22220300,borderlands
loish,0,22220705,loish
laurie,0,22220100,laurie
greasley,0,22220400,greasley
vic,0,22220002,vic
baroque,0,22220400,baroque
